cell,x1,x2,x3,x4,x5,x6,x7,x8,x9
b.cells,0.026239643,0.06869989,-0.14434025,-0.020774078,-0.0006113892,0.03152104,-0.0424893,0.02914793,-0.015106075
b.cells,0.03658177,0.071188934,-0.13134187,0.00019509623,-0.0067708297,0.02734238,-0.025606245,0.021236977,0.00934818
b.cells,0.03506063,0.05174682,-0.13633385,-0.027821364,0.0040658666,0.059536736,0.012415626,0.03234827,0.011411366
b.cells,0.034222614,0.03679838,-0.10792176,-7.9678604e-5,-0.022396602,0.04058846,-0.0112965135,0.043656673,0.06776223
b.cells,0.007294026,0.027888661,-0.10511376,-0.029313643,-0.028305303,0.028771872,0.0235469,0.031278357,-0.032825116
b.cells,0.02905451,0.059673674,-0.13527095,-0.033811763,0.0052151885,0.020299599,-0.017728722,0.039664578,0.026798291
b.cells,0.016806046,0.036755655,-0.0941533,0.0042302976,-0.019008243,0.03243286,-0.07449054,0.031043895,0.015922097
b.cells,0.007994115,0.050239235,-0.11111433,-0.013715821,-0.023561988,0.028562173,-0.028821746,0.025956603,0.0025811887
b.cells,0.011406248,0.05151217,-0.12821512,-0.010642071,-0.02856589,0.01962499,-0.0009188004,0.0112602925,0.0034788533
b.cells,0.01825752,0.04517079,-0.122326784,-0.052011482,0.012987526,0.021301681,0.02547986,0.014995414,0.010133781
b.cells,0.007876337,0.033782467,-0.09792836,-0.04853685,-0.02582364,0.0043535363,0.014204262,-0.08118929,-0.013488547
b.cells,0.041836653,0.07829128,-0.14265274,0.0021455784,-0.016378753,0.028957797,-0.015256563,0.028145248,-0.04398751
b.cells,0.031789016,0.05318398,-0.12233159,0.008650071,-0.021692956,0.05040561,-0.01596311,0.02083171,-0.031938143
b.cells,0.005514251,0.05084223,-0.15365437,-0.05326989,-0.03961916,0.060725678,0.003384435,0.043832824,-0.00083100895
b.cells,0.008211778,0.08720486,-0.17386746,-0.09162683,-0.037999753,-0.03177975,0.05055917,-0.07619353,-0.012070168
b.cells,0.031065205,0.06916197,-0.14173564,-0.0021271822,-0.007710819,0.024283236,-0.02302711,0.02756871,0.008555019
b.cells,0.049021304,0.07260294,-0.17337234,-0.05050241,-0.01912954,0.015677597,0.0075450973,0.011559437,0.01219814
b.cells,0.018816909,0.044027776,-0.1250082,-0.030355925,-0.02683926,0.008902573,-0.015816815,0.017898321,0.010515437
b.cells,0.0033310784,0.059052818,-0.12825733,-0.043356415,-0.012195868,0.009800719,0.0061669573,0.03196576,0.0075501227
b.cells,0.015609278,0.046403833,-0.111214526,-0.044576064,-0.033335023,0.03932424,-0.014825711,0.021210963,0.009189734
b.cells,-0.0035397757,0.08029116,-0.16541022,-0.06586496,-0.031974345,0.028457627,0.029181762,0.014638463,-0.052058265
b.cells,0.024873083,0.043885022,-0.121393606,-0.022833815,-0.042420767,0.042062525,-0.008441775,0.050832264,-0.02650531
b.cells,0.019213919,0.08028768,-0.15719305,-0.08317615,-0.00013020284,-0.040879324,0.053125132,-0.11538756,-0.027162578
b.cells,0.015339158,0.05312767,-0.1264182,-0.016018646,-0.0060756356,0.015802646,0.01650029,0.023830649,-0.0065113925
b.cells,0.03671635,0.07743493,-0.17643857,-0.05064542,-0.010117121,-0.034517594,0.061026216,-0.061835364,-0.025813395
b.cells,0.05645463,0.05068575,-0.14048004,-0.017928014,0.0007067496,0.035077643,0.023523968,0.019241175,-0.023594735
b.cells,0.030944698,0.05052619,-0.122672096,-0.029857974,-0.02646558,0.011611471,-0.009453152,-0.027856197,-0.019652434
b.cells,0.031266842,0.04534766,-0.10106567,-0.024551807,-0.0066290563,0.03651667,-0.009876762,0.023931645,-0.0052646166
b.cells,0.037349623,0.03296744,-0.09295237,-0.00800093,-0.01630189,0.027106617,-0.036125977,-0.011483441,0.01906952
